repo,owner,name,treatment,repetition,order_index,timestamp,status_code,ok,elapsed_ms,size_bytes,error
donnemartin/system-design-primer,donnemartin,system-design-primer,GraphQL,2,47,2026-06-26T15:30:49.161190+00:00,200,True,745.9261000003607,472,
torvalds/linux,torvalds,linux,REST,5,48,2026-06-26T15:30:50.090152+00:00,200,True,664.021899999625,5057,
Comfy-Org/ComfyUI,Comfy-Org,ComfyUI,GraphQL,3,49,2026-06-26T15:30:51.133246+00:00,200,True,780.1590999997643,474,
anthropics/skills,anthropics,skills,REST,2,50,2026-06-26T15:30:52.223734+00:00,200,True,700.3865000001497,6386,
clash-verge-rev/clash-verge-rev,clash-verge-rev,clash-verge-rev,GraphQL,4,51,2026-06-26T15:30:53.209442+00:00,200,True,687.9439999997885,500,
multica-ai/andrej-karpathy-skills,multica-ai,andrej-karpathy-skills,REST,4,52,2026-06-26T15:30:54.226054+00:00,200,True,664.2165999996905,6910,
openclaw/openclaw,openclaw,openclaw,GraphQL,1,53,2026-06-26T15:30:55.326050+00:00,200,True,693.1070999999065,431,
avelino/awesome-go,avelino,awesome-go,GraphQL,5,54,2026-06-26T15:30:56.416711+00:00,200,True,716.880399999809,415,
obra/superpowers,obra,superpowers,GraphQL,2,55,2026-06-26T15:30:57.303744+00:00,200,True,675.7823000002645,427,
nodejs/node,nodejs,node,REST,1,56,2026-06-26T15:30:58.311461+00:00,200,True,691.2257999997564,6015,
papers-we-love/papers-we-love,papers-we-love,papers-we-love,REST,5,57,2026-06-26T15:30:59.409509+00:00,200,True,806.2243000003946,6923,
firecrawl/firecrawl,firecrawl,firecrawl,GraphQL,2,58,2026-06-26T15:31:00.385342+00:00,200,True,714.9581000003309,453,
microsoft/TypeScript,microsoft,TypeScript,GraphQL,4,59,2026-06-26T15:31:01.443564+00:00,200,True,712.896400000318,451,
torvalds/linux,torvalds,linux,GraphQL,1,60,2026-06-26T15:31:02.474513+00:00,200,True,729.7496999999566,366,
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,REST,1,61,2026-06-26T15:31:03.409945+00:00,200,True,646.9256000000314,7536,
Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,REST,5,62,2026-06-26T15:31:04.453747+00:00,200,True,706.8300000000818,7184,
affaan-m/ECC,affaan-m,ECC,GraphQL,4,63,2026-06-26T15:31:05.349003+00:00,200,True,667.4287999999251,525,
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,GraphQL,1,64,2026-06-26T15:31:06.274450+00:00,200,True,677.8171999999358,430,
ollama/ollama,ollama,ollama,GraphQL,5,65,2026-06-26T15:31:07.356162+00:00,200,True,707.170700000006,449,
x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,system-prompts-and-models-of-ai-tools,GraphQL,1,66,2026-06-26T15:31:08.381188+00:00,200,True,705.392099999699,718,
mattpocock/skills,mattpocock,skills,GraphQL,1,67,2026-06-26T15:31:09.496326+00:00,200,True,682.9305000001114,415,
torvalds/linux,torvalds,linux,REST,2,68,2026-06-26T15:31:10.432969+00:00,200,True,631.6399000002093,5057,
flutter/flutter,flutter,flutter,REST,5,69,2026-06-26T15:31:11.417996+00:00,200,True,740.5226999999286,6633,
huggingface/transformers,huggingface,transformers,GraphQL,2,70,2026-06-26T15:31:12.617327+00:00,200,True,698.7558000000718,546,
d3/d3,d3,d3,REST,1,71,2026-06-26T15:31:13.516151+00:00,200,True,685.9638000000814,5705,
rust-lang/rust,rust-lang,rust,REST,1,72,2026-06-26T15:31:14.534271+00:00,200,True,701.5197999999145,6242,
twbs/bootstrap,twbs,bootstrap,GraphQL,2,73,2026-06-26T15:31:15.755998+00:00,200,True,750.0044999997044,463,
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,GraphQL,3,74,2026-06-26T15:31:16.866153+00:00,200,True,713.7424999996256,700,
tensorflow/tensorflow,tensorflow,tensorflow,REST,4,75,2026-06-26T15:31:17.853989+00:00,200,True,734.2232000000877,6800,
nilbuild/developer-roadmap,nilbuild,developer-roadmap,GraphQL,1,76,2026-06-26T15:31:18.772572+00:00,200,True,692.9038000002947,464,
